Hook Name,Example #1,Example #2,Template
Unique Transformation,I went from spending 40 hours/week on content creation to 8 hours in 3 months. Without hiring a single team member.,I went from $0 to $50K MRR in 6 months. Without spending a dollar on ads.,I went from [before] to [after] in [time]. Without [popular thing].
Failure Story,I've seen founders try to build AI products in 2 weeks. 90% abandon it within a month.,I've seen entrepreneurs dump $20K into AI consultants in 30 days. Most see zero ROI.,I’ve seen [ICP] [ambitious action] in [timeframe]. [negative outcome].
Make People Feel Seen,"If you're a founder who wants to use AI, but feels overwhelmed by all the tools. This post is for YOU.","If you're an entrepreneur who's excited about AI, but don't know where to start. This post is for YOU.","If you’re [trait], but [objection]. This post is for YOU."
Strong Disagreement,"""AI will replace most jobs by 2026"" I disagree.","""You need to learn Python to use AI effectively"" I disagree.",“[provocative quote or opinion]” I disagree.
Opinion as Fact,Most founders are wasting 15+ hours per week on tasks AI could do in minutes. Here's exactly why.,AI tools will generate 40% more revenue for early adopters than their competitors by 2026. Here's exactly why.,[direct claim presented as fact] Here’s exactly why.
Rebellion Story,"I was told ""AI is too complex for non-technical founders"". I ignored it. Now I'm automating 60% of my business.","I was told ""Wait for AI to mature before investing in it"". I ignored it. My competitors are now 2 years behind.",I was told [insert quote]. I ignored it. [Strong positive outcome].
Trigger FOMO,"I wouldn't recommend this to everyone, but… It's how I 10X'd my productivity using AI in 60 days","I wouldn't recommend this to everyone, but… It's how founders are building profitable AI-powered businesses with zero coding","I wouldn’t recommend this to everyone, but… It’s how [desirable/positive outcome]"
Contrarian Post,You could be the smartest entrepreneur in your niche. But I'd still say you're leaving money on the table without AI.,You could be making $100K/month already. But I'd still say you're doing it the hard way without AI automation.,You could be [positive trait]. But I'd still say [insert negative judgement].
"Set a Goal, Show Your Process",If I wanted to build an AI-powered business from scratch in 90 days. This is how I'd do it:,If I wanted to automate 50% of my startup operations in 30 days. This is how I'd do it:,If I wanted to [set desirable + time-based goal]. This is how I'd do it:
Subject Masterclass,60 second AI automation masterclass. This is how my customers saved 20+ hours per week in 30 days.,60 second ChatGPT masterclass. This is how my customers 3X'd their content output in 14 days.,60 second [topic] masterclass. This is how my customers [achievement] in [timeframe].
Golden Advice,I've tested 47 AI tools in the last 90 days. Here's what actually moves the needle for founders.,I've trained 200+ entrepreneurs in the last 6 months. Only 3 strategies consistently deliver results.,I’ve [action] in the last [insert time] [tease your findings].
Leverage FOFU,I've heard terrible advice on AI implementation. But this is the worst.,I've heard terrible advice on prompt engineering. But this is the worst.,I’ve heard terrible advice on [subject]. But this is the worst.
Quantified Strategy/Framework,"This AI automation framework saved my client 30 hours per week in 45 days, and here's how it works.","This prompt engineering system generated $15K in additional revenue for my client in 2 months, and here's how it works.","This [strategy/framework] saved my client [result] in [timeframe], and here's how it works."
Personalized Result,Here's how my client automated their entire customer service in 21 days.,Here's how my client built a $10K/month AI consulting business in 90 days.,Here's how my client [achieved result] in [timeframe].
Expert's First-Time Approach,"If I were helping someone implement AI in their business for the first time today, here's how I'd do it. The full breakdown.","If I were helping someone build their first AI-powered product for the first time today, here's how I'd do it. The full breakdown.","If I were helping someone [achieve goal] for the first time today, here's how I'd do it. The full breakdown."
